# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

0.08 119798627.79245321
0.0808 118258960.61279196
0.081608 116739081.4312725
0.08242408 115238735.93002917
0.0832483208 113757673.05972244
0.084080804008 112295644.99753013
0.08492161204808 110852407.10568105
0.08577082816856081 109427717.89051972
0.08662853645024642 108021338.96209717
0.08749482181474888 106633034.99428286
0.08836977003289637 105262573.68538734
0.08925346773322533 103909725.71929139
0.09014600241055759 102574264.72707751
0.09104746243466316 101255967.2491485
0.0919579370590098 99954612.69783881
0.0928775164295999 98669983.32050392
0.0938062915938959 97401864.16308352
0.09474435450983486 96150043.03413436
0.0956917980549332 94914310.46932456
0.09664871603548254 93694459.69638442
0.09761520319583737 92490286.60050766
0.09859135522779575 91301589.69019765
0.09957726878007371 90128170.06355214
0.10057304146787445 88969831.37498075
0.1015787718825532 87826379.80235201
0.10259455960137873 86697624.0145614
0.10362050519739252 85583375.13951506
0.10465671024936644 84483446.73252827
0.10570327735186011 83397654.74512687
0.1067603101253787 82325817.49425094
0.10782791322663249 81267755.6318542
0.10890619235889881 80223292.11489426
0.1099952542824878 79192252.17570817
0.11109520682531268 78174463.29277042
0.1122061588935658 77169755.1618223
0.11332822048250146 76177959.66737807
0.11446150268732648 75198910.85459375
0.11560611771419975 74232444.90149724
0.11676217889134174 73278400.09157793
0.11792980068025516 72336616.78672612
0.11910909868705771 71406937.4005215
0.12030018967392829 70489206.37186414
0.12150319157066758 69583270.13894556
0.12271822348637426 68688977.11355273
0.12394540572123801 67806177.65570359
0.1251848597784504 66934724.04860877
0.1264367083762349 66074470.47395298
0.12770107545999726 65225272.987496935
0.12897808621459722 64386989.49499083
0.1302678670767432 63559479.728398524
0.13157054574751065 62742605.22242587
0.13288625120498576 61936229.29135299
0.13421511371703562 61140217.006161526
0.13555726485420597 60354435.17195866
0.13691283750274802 59578752.305688664
0.1382819658777755 58813038.614133365
0.13966478553655326 58057165.972192906
0.1410614333919188 57311007.90144772
0.142472047725838 56574439.54899532
0.14389676820309638 55847337.666557856
0.14533573588512735 55129580.58986056
0.14678909324397862 54421048.21827347
0.14825698417641842 53721621.99471424
0.1497395540181826 53031184.885812566
0.15123694955836442 52349621.36232467
0.15274931905394806 51676817.3798042
0.15427681224448755 51012660.3595179
0.15581958036693244 50357039.169608824
0.15737777617060178 49709844.10650115
