10.00   0.9312  3.7517   4.3746 .53130502E-02 .63894657E-02 1.168744e-02 .16576124E-01 .22415662E-01 .34231147E-01 .46735675E-01 .49541485E-01 .93225050     0.00113   1.568   4.714
10.00   0.9371  3.7532   4.3603 .56815991E-02 .67892797E-02 1.235529e-02 .17475711E-01 .23573052E-01 .35884218E-01 .48850324E-01 .51745996E-01 .93818271     0.00115   1.555   4.657
10.00   0.9444  3.7549   4.3418 .61631950E-02 .73127054E-02 1.323105e-02 .18656984E-01 .25095574E-01 .38063925E-01 .51647517E-01 .54664810E-01 .94554466     0.00121   1.540   4.585
10.00   0.9465  3.7553   4.3361 .63048597E-02 .74684750E-02 1.349454e-02 .19014814E-01 .25559985E-01 .38735271E-01 .52517856E-01 .55575463E-01 .94772929     0.00130   1.537   4.564
10.00   0.9485  3.7556   4.3312 .64246380E-02 .76010018E-02 1.372003e-02 .19322090E-01 .25960168E-01 .39316560E-01 .53275118E-01 .56368811E-01 .94974577     0.00131   1.534   4.547
10.00   0.9569  3.7568   4.3100 .69567664E-02 .81905641E-02 1.472422e-02 .20691599E-01 .27745302E-01 .41912539E-01 .56661500E-01 .59917890E-01 .95819741     0.00135   1.524   4.472
10.00   0.9637  3.7578   4.2916 .74412681E-02 .87260489E-02 1.563394e-02 .21930621E-01 .29358524E-01 .44254657E-01 .59712756E-01 .63114811E-01 .96504569     0.00139   1.515   4.409
10.00   0.9937  3.7594   4.1838 .10120605E-01 .11793840E-01 2.101671e-02 .29397056E-01 .39251226E-01 .58964000E-01 .79315881E-01 .83771989E-01 .99544579     0.00175   1.501   4.090
10.00   0.9982  3.7581   4.1593 .10509718E-01 .12309661E-01 2.203218e-02 .30889173E-01 .41331051E-01 .62261842E-01 .83961378E-01 .88732470E-01 1.0000000     0.00180   1.513   4.037
10.00   1.0101  3.7545   4.0920 .11634038E-01 .13826808E-01 2.505121e-02 .35349995E-01 .47580900E-01 .72230269E-01 .98082337E-01 .10383209E+00 1.0121261     0.00200   1.544   3.891
10.00   1.0217  3.7416   3.9949 .11552165E-01 .14528888E-01 2.752117e-02 .39764359E-01 .54707634E-01 .85333324E-01 .11882969E+00 .12658432E+00 1.0239945     0.00224   1.657   3.765
10.00   1.0273  3.7255   3.9284 .98523224E-02 .13341594E-01 2.678040e-02 .39959571E-01 .56548596E-01 .91587012E-01 .13167409E+00 .14138478E+00 1.0297928     0.00242   1.806   3.754
10.00   1.0307  3.7093   3.8716 .78054966E-02 .11705029E-01 2.500645e-02 .38729223E-01 .56490527E-01 .96549218E-01 .14353045E+00 .15542770E+00 1.0332050     0.00242   1.984   3.771
10.00   1.0339  3.6958   3.7847 .67549215E-02 .11377863E-01 2.573362e-02 .41115568E-01 .61569501E-01 .10961369E+00 .16778772E+00 .18304310E+00 1.0365101     0.00252   2.130   3.685
10.00   1.0362  3.6895   3.6984 .68676832E-02 .12408736E-01 2.893066e-02 .46844961E-01 .71013344E-01 .12914392E+00 .20058006E+00 .21959020E+00 1.0389404     0.00264   2.201   3.530
10.00   1.0379  3.6864   3.6227 .74018452E-02 .13961242E-01 3.311923e-02 .53920827E-01 .82210517E-01 .15110891E+00 .23650688E+00 .25937207E+00 1.0407097     0.00270   2.235   3.370
10.00   1.0393  3.6841   3.5478 .81251768E-02 .15896292E-01 3.825402e-02 .62493183E-01 .95670536E-01 .17722891E+00 .27907222E+00 .30645008E+00 1.0422023     0.00278   2.259   3.204
10.00   1.0405  3.6823   3.4783 .89323083E-02 .18032825E-01 4.392736e-02 .71926001E-01 .11045326E+00 .20582587E+00 .32571875E+00 .35804161E+00 1.0434573     0.00283   2.278   3.047
10.00   1.0415  3.6807   3.4102 .98372023E-02 .20457152E-01 5.040898e-02 .82689706E-01 .12732721E+00 .23845266E+00 .37909033E+00 .41709935E+00 1.0445681     0.00294   2.294   2.892
10.00   1.0424  3.6791   3.3420 .10828837E-01 .23207291E-01 5.786444e-02 .95094519E-01 .14683054E+00 .27623566E+00 .44123047E+00 .48593813E+00 1.0455493     0.00301   2.310   2.736
10.00   1.0431  3.6773   3.2733 .11853206E-01 .26245520E-01 6.630389e-02 .10922604E+00 .16919598E+00 .31975770E+00 .51347375E+00 .56614048E+00 1.0464129     0.00317   2.328   2.582
10.00   1.0437  3.6754   3.2049 .12918761E-01 .29596108E-01 7.581882e-02 .12524151E+00 .19468746E+00 .36946210E+00 .59668228E+00 .65869751E+00 1.0471547     0.00330   2.347   2.429
10.00   1.0443  3.6732   3.1341 .14010014E-01 .33345451E-01 8.680378e-02 .14389402E+00 .22463430E+00 .42798876E+00 .69581414E+00 .76927742E+00 1.0478437     0.00338   2.369   2.274
10.00   1.0447  3.6711   3.0668 .15121332E-01 .37327685E-01 9.870832e-02 .16419145E+00 .25738134E+00 .49183845E+00 .80484123E+00 .89112775E+00 1.0484155     0.00354   2.389   2.126
10.00   1.0451  3.6688   2.9970 .16337395E-01 .41816988E-01 1.124088e-01 .18781860E+00 .29584088E+00 .56668779E+00 .93386297E+00 .10357163E+01 1.0489516     0.00367   2.411   1.974
10.00   1.0453  3.6665   2.9310 .17716878E-01 .46466341E-01 1.264633e-01 .21271423E+00 .33693757E+00 .64685517E+00 .10725492E+01 .11915746E+01 1.0493803     0.00389   2.435   1.832
10.00   1.0455  3.6640   2.8599 .19322439E-01 .52030518E-01 1.435372e-01 .24320973E+00 .38763139E+00 .74569780E+00 .12447914E+01 .13855557E+01 1.0498066     0.00410   2.462   1.679
10.00   1.0457  3.6615   2.7879 .21120040E-01 .58381844E-01 1.632675e-01 .27870372E+00 .44700161E+00 .86421229E+00 .14524431E+01 .16198053E+01 1.0501875     0.00427   2.491   1.524
10.00   1.0458  3.6590   2.7205 .22839383E-01 .64803288E-01 1.837260e-01 .31599693E+00 .51006109E+00 .99206517E+00 .16787479E+01 .18758524E+01 1.0505254     0.00450   2.523   1.380
10.00   1.0458  3.6562   2.6505 .24622418E-01 .71922626E-01 2.070845e-01 .35923099E+00 .58408201E+00 .11439126E+01 .19506827E+01 .21845763E+01 1.0508515     0.00481   2.558   1.233
10.00   1.0457  3.6541   2.5928 .26366970E-01 .78707448E-01 2.292763e-01 .40032060E+00 .65451250E+00 .12886846E+01 .22103954E+01 .24796332E+01 1.0512534     0.00528   2.585   1.110
10.00   1.0457  3.6578   2.6691 .24778055E-01 .71186558E-01 2.031613e-01 .35070195E+00 .56783853E+00 .11076900E+01 .18805948E+01 .21033954E+01 1.0515770     0.00559   2.538   1.264
10.00   1.0457  3.6584   2.6817 .24517387E-01 .69999920E-01 1.991154e-01 .34309014E+00 .55465112E+00 .10803727E+01 .18311929E+01 .20471664E+01 1.0516278     0.00564   2.530   1.289
10.00   1.0457  3.6555   2.6115 .26363495E-01 .77567969E-01 2.242068e-01 .38977340E+00 .63490937E+00 .12456468E+01 .21282868E+01 .23848182E+01 1.0518667     0.00586   2.567   1.143
10.00   1.0456  3.6525   2.5391 .28410225E-01 .86214819E-01 2.533954e-01 .44465167E+00 .73011199E+00 .14434879E+01 .24869913E+01 .27935717E+01 1.0521185     0.00620   2.606   0.992
10.00   1.0454  3.6490   2.4590 .30662397E-01 .96445050E-01 2.890829e-01 .51293622E+00 .85030310E+00 .16968152E+01 .29523416E+01 .33259469E+01 1.0523732     0.00663   2.652   0.827
10.00   1.0451  3.6452   2.3727 .33150733E-01 .10837995E+00 3.319172e-01 .59622787E+00 .99893486E+00 .20144781E+01 .35430879E+01 .40043744E+01 1.0526099     0.00713   2.704   0.649
10.00   1.0448  3.6416   2.2935 .35467639E-01 .12024711E+00 3.759084e-01 .68333440E+00 .11567792E+01 .23571456E+01 .41888558E+01 .47490931E+01 1.0528082     0.00761   2.754   0.488
10.00   1.0443  3.6375   2.2039 .38209500E-01 .13497780E+00 4.320472e-01 .79634909E+00 .13645489E+01 .28151358E+01 .50626791E+01 .57608582E+01 1.0530039     0.00827   2.812   0.305
10.00   1.0438  3.6341   2.1312 .40458080E-01 .14784068E+00 4.826696e-01 .90017835E+00 .15585260E+01 .32500274E+01 .59034429E+01 .67385292E+01 1.0531481     0.00888   2.862   0.158
10.00   1.0431  3.6302   2.0488 .43052563E-01 .16350575E+00 5.461683e-01 .10327491E+01 .18100824E+01 .38235617E+01 .70261306E+01 .80494515E+01 1.0532924     0.00968   2.921  -0.008
10.00   1.0424  3.6259   1.9633 .45482726E-01 .18017923E+00 6.173968e-01 .11857933E+01 .21075810E+01 .45191671E+01 .84124184E+01 .96777333E+01 1.0534136     0.01046   2.988  -0.178
10.00   1.0415  3.6217   1.8831 .47538245E-01 .19618307E+00 6.893534e-01 .13448978E+01 .24245108E+01 .52798414E+01 .99549214E+01 .11500145E+02 1.0535192     0.01141   3.056  -0.336
10.00   1.0406  3.6180   1.8119 .49422996E-01 .21138888E+00 7.595840e-01 .15030566E+01 .27449893E+01 .60644504E+01 .11565395E+02 .13411180E+02 1.0535992     0.01234   3.117  -0.476
10.00   1.0394  3.6134   1.7283 .51162160E-01 .22870329E+00 8.452096e-01 .17030723E+01 .31629436E+01 .71218991E+01 .13778423E+02 .16054854E+02 1.0536895     0.01356   3.197  -0.638
10.00   1.0382  3.6095   1.6515 .53285985E-01 .24721085E+00 9.358557e-01 .19158104E+01 .36113930E+01 .82724862E+01 .16202968E+02 .18959918E+02 1.0537566     0.01476   3.267  -0.790
10.00   1.0367  3.6055   1.5695 .55817865E-01 .26894128E+00 1.043805e+00 .21895915E+01 .41938497E+01 .97133297E+01 .19270170E+02 .22649754E+02 1.0538236     0.01625   3.341  -0.953
10.00   1.0353  3.6010   1.4956 .56922215E-01 .28263509E+00 1.128464e+00 .24002766E+01 .46615927E+01 .11160461E+02 .22466504E+02 .26543589E+02 1.0538727     0.01762   3.429  -1.091
10.00   1.0333  3.5962   1.4101 .61250125E-01 .30155677E+00 1.238801e+00 .26757627E+01 .53329875E+01 .13126871E+02 .26845445E+02 .31898769E+02 1.0539268     0.01957   3.527  -1.255
10.00   1.0310  3.5913   1.3272 .64981686E-01 .32456781E+00 1.341086e+00 .29443762E+01 .60353537E+01 .15323456E+02 .31854512E+02 .38080112E+02 1.0539758     0.02180   3.633  -1.411
10.00   1.0287  3.5868   1.2512 .68190989E-01 .34508145E+00 1.433379e+00 .31965497E+01 .67348729E+01 .17642453E+02 .37238678E+02 .44773232E+02 1.0540146     0.02402   3.737  -1.553
10.00   1.0255  3.5810   1.1581 .70977993E-01 .36521883E+00 1.527240e+00 .34785444E+01 .77720182E+01 .20869681E+02 .44939026E+02 .54449790E+02 1.0540559     0.02709   3.880  -1.725
10.00   1.0225  3.5766   1.0806 .73585546E-01 .38339491E+00 1.611334e+00 .37324141E+01 .90662452E+01 .24027642E+02 .52541755E+02 .64050197E+02 1.0540868     0.02997   3.998  -1.871
