# NAME         ADOPTED                  XSL                   NGSL
X0417V    3553  0.31 -0.09  10.0  3553  0.31 -0.09      0     0  0.00  0.00      LongPeriodV* # XSL, scatter among XSL's, low TiO, DECR. S/N
X0476V    3558  0.21 -0.35 100.0  3558  0.21 -0.35      0     0  0.00  0.00              AGB* # XSL
X0475V    3562 -0.03 -0.30 100.0  3562 -0.03 -0.30      0     0  0.00  0.00             RedSG # XSL
X0431V    3574  0.34 -0.05 100.0  3574  0.34 -0.05      0     0  0.00  0.00             RedSG # XSL
X0438V    3592  0.69 -0.60 100.0  3592  0.69 -0.60      0     0  0.00  0.00             RedSG # XSL seems better than Jonsson
X0583V    3593  0.14 -0.44 100.0  3593  0.14 -0.44      0     0  0.00  0.00              Star # XSL
X0443V    3607  0.88 -0.98 100.0  3607  0.88 -0.98      0     0  0.00  0.00             RedSG # XSL
X0469V    3631  0.54 -0.21 100.0  3631  0.54 -0.21      0     0  0.00  0.00      LongPeriodV* # XSL
X0433V    3637  0.68 -0.91 100.0  3637  0.68 -0.91      0     0  0.00  0.00             RedSG # XSL
X0460V    3641  1.05 -0.61 100.0  3641  1.05 -0.61      0     0  0.00  0.00              Mira # XSL
X0587V    3675  0.87 -0.17 100.0  3675  0.87 -0.17      0     0  0.00  0.00             Blend # XSL
X0465V    3677  0.79 -0.46 100.0  3677  0.79 -0.46      0     0  0.00  0.00      LongPeriodV* # XSL
X0379V    3692  1.34 -0.37 100.0  3692  1.34 -0.37 ng358V  3626  1.54 -0.24 LongPeriodV*_Cand # XSL
X0133V    3698  4.81 -0.59 100.0  3698  4.81 -0.59 ng112V  3674  4.71 -0.84           HighPM* # XSL, Maldonado Teff a bit too low for TiO's 
X0410V    3706  4.77 -0.49 100.0  3706  4.77 -0.49      0     0  0.00  0.00           HighPM* # XSL, same as one estimate of KUZNETSOV+2019
X0453V    3713  1.06 -0.99 100.0  3713  1.06 -0.99      0     0  0.00  0.00      LongPeriodV* # XSL
X0194V    3721  1.19 -0.31 100.0  3721  1.19 -0.31      0     0  0.00  0.00      LongPeriodV* # XSL, TiO OK
X0048V    3728  0.85 -0.74 100.0  3728  0.85 -0.74      0     0  0.00  0.00      LongPeriodV* # XSL
X0466V    3752  0.67 -0.28 100.0  3752  0.67 -0.28      0     0  0.00  0.00         Variable* # XSL
X0467V    3752  0.95 -0.37 100.0  3752  0.95 -0.37      0     0  0.00  0.00      LongPeriodV* # XSL
X0440V    3777  0.80 -0.71 100.0  3777  0.80 -0.71      0     0  0.00  0.00             RedSG # XSL, 2MASS J00593499-7204066
X0049V    3831  0.30 -1.30 100.0  3810  0.68 -1.22      0     0  0.00  0.00              RGB* # Jonsson 2020AJ....160..120J
X0063V    3813  1.59 -0.44 100.0  3813  1.59 -0.44      0     0  0.00  0.00              RGB* # XSL, TiO good
X0062V    3817  1.56 -0.20 100.0  3817  1.56 -0.20      0     0  0.00  0.00              RGB* # XSL, TiO good
X0437V    3825  0.34 -0.05 100.0  3825  0.34 -0.05      0     0  0.00  0.00             RedSG # XSL
X0053V    3827  1.09 -0.51 100.0  3827  1.09 -0.51      0     0  0.00  0.00              Star # XSL
X0424V    3827  0.68 -0.52 100.0  3827  0.68 -0.52      0     0  0.00  0.00      LongPeriodV* # XSL
X0043V    3836  0.24  0.13 100.0  3836  0.24  0.13      0     0  0.00  0.00             RedSG # XSL
X0435V    3841 -0.02 -0.02 100.0  3841 -0.02 -0.02      0     0  0.00  0.00             RedSG # XSL
X0426V    3847  0.99 -0.58 100.0  3847  0.99 -0.58      0     0  0.00  0.00      LongPeriodV* # XSL
X0464V    3847  1.22 -0.64 100.0  3847  1.22 -0.64      0     0  0.00  0.00      LongPeriodV* # XSL
X0208V    3848  1.67 -0.02 100.0  3848  1.67 -0.02 ng174V  3834  1.79  0.04              Star # XSL
X0025V    3871  1.51 -0.26 100.0  3871  1.51 -0.26      0     0  0.00  0.00              Star # XSL 
X0420V    3885  0.29  0.05 100.0  3885  0.29  0.05      0     0  0.00  0.00              Star # XSL
X0044V    3900  0.55  0.10 100.0  3900  0.55  0.10      0     0  0.00  0.00             RedSG # XSL
X0463V    3936  0.24 -0.43 100.0  3936  0.24 -0.43      0     0  0.00  0.00              Mira # XSL
X0059V    3938  1.15 -0.98 100.0  3938  1.15 -0.98      0     0  0.00  0.00              RGB* # XSL
X0202V    3945  1.53 -0.52 100.0  3945  1.53 -0.52 ng166V  3930  1.69 -0.26              Star # XSL
X0434V    3950  0.27 -0.05 100.0  3950  0.27 -0.05      0     0  0.00  0.00             RedSG # XSL
X0060V    3953  1.06 -1.03 100.0  3953  1.06 -1.03      0     0  0.00  0.00              RGB* # XSL 
X0052V    3977  0.09 -0.16 100.0  3977  0.09 -0.16      0     0  0.00  0.00             RedSG # XSL
X0454V    3984  0.43 -0.82 100.0  3984  0.43 -0.82      0     0  0.00  0.00                C* # XSL (TiO: XSL seems better than Gonneau+2017), reduce SN??
X0441V    3997  0.21 -0.22 100.0  3997  0.21 -0.22      0     0  0.00  0.00             RedSG # XSL
X0179V    4023  2.07  0.04 100.0  4023  2.07  0.04      0     0  0.00  0.00              Star # XSL
X0215V    4039  1.59 -0.58 100.0  4039  1.59 -0.58 ng186V  4029  1.70 -0.39              Star # XSL
X0196V    4047  1.78  0.00  10.0  4047  1.78  0.00 ng160V  4050  1.87  0.07               SB* # XSL, Spec. Bin. (DECREASED S/N), (TiO: better XSL)
X0436V    4052  0.17 -0.16 100.0  4052  0.17 -0.16      0     0  0.00  0.00             RedSG # XSL, several MaNGA estimates
X0245V    4066  2.30  0.14 100.0  4066  2.30  0.14      0     0  0.00  0.00           HighPM* # XSL
X0471V    4069  0.20 -0.90  10.0  4069  0.20 -0.90      0     0  0.00  0.00                C* # XSL, TiO2 a bit too high, DECREASED S/N  
X0457V    3649  0.00 -0.50  10.0  4078  0.20 -1.48      0     0  0.00  0.00                C* # Gonneau+2017A&A601..141, TiO2 a bit too low, DECREASED S/N
X0177V    4082  1.63 -0.31 100.0  4082  1.63 -0.31      0     0  0.00  0.00                ** # XSL
X0456V    3800  0.00 -0.50 100.0  4088  0.26 -1.31      0     0  0.00  0.00                C* # Gonneau+2017A&A601..141
X0472V    4089  0.39 -0.98  10.0  4089  0.39 -0.98      0     0  0.00  0.00                C* # XSL, TiO2 a bit too high, DECREASED S/N  
X0047V    4097  0.32 -1.03 100.0  4097  0.32 -1.03      0     0  0.00  0.00              Mira # XSL
