X0044V    3900  0.55  0.10 100.0              RedSG # XSL
X0463V    3936  0.24 -0.43 100.0               Mira # XSL
X0059V    3938  1.15 -0.98 100.0               RGB* # XSL
X0202V    3945  1.53 -0.52 100.0               Star # XSL
X0434V    3950  0.27 -0.05 100.0              RedSG # XSL
X0060V    3953  1.06 -1.03 100.0               RGB* # XSL 
X0052V    3977  0.09 -0.16 100.0              RedSG # XSL
X0454V    3984  0.43 -0.82 100.0                 C* # XSL (TiO: XSL seems better than Gonneau+2017)
X0441V    3997  0.21 -0.22 100.0              RedSG # XSL
X0179V    4023  2.07  0.04 100.0               Star # XSL
X0215V    4039  1.59 -0.58 100.0               Star # XSL
X0196V    4047  1.78  0.00  10.0                SB* # XSL, Spec. Bin. (DECREASED S/N), (TiO: better XSL)
X0436V    4052  0.17 -0.16 100.0              RedSG # XSL, several MaNGA estimates
X0245V    4066  2.30  0.14 100.0            HighPM* # XSL
X0471V    4069  0.20 -0.90  10.0                 C* # XSL, TiO2 a bit too high, DECREASED S/N  
X0457V    3649  0.00 -0.50  10.0                 C* # Gonneau+2017A&A601..141, TiO2 a bit too low, DECREASED S/N
X0177V    4082  1.63 -0.31 100.0                 ** # XSL
X0456V    3800  0.00 -0.50 100.0                 C* # Gonneau+2017A&A601..141
X0472V    4089  0.39 -0.98  10.0                 C* # XSL, TiO2 a bit too high, DECREASED S/N  
X0047V    4097  0.32 -1.03 100.0               Mira # XSL
X0190V    4098  1.19 -0.01 100.0               Star # XSL
X0092V    4109  2.29  0.03 100.0               Star # XSL
X0449V    4118  1.36 -0.61 100.0               RGB* # XSL
X0158V    4130  2.27  0.06 100.0               Star # XSL
X0067V    4169  1.40 -0.81 100.0               RGB* # Jonsson 2020AJ....160..120J (m0944V, AE: 4071 1.12 -0.87)
X0450V    4157  1.29 -0.66 100.0               RGB* # XSL
X0611V    4084  0.74 -1.15 100.0               RGB* # SB (m0926V, AE: 4090 0.79 -1.16) 
X0612V    4296  1.40 -0.77 100.0               RGB* # SB (m0964V, AE: 4341 1.76 -0.88)
X0277V    4172  0.39 -1.53 100.0            RVTauV* # XSL (SB based on old estimates), HD 144921
X0075V    4369  4.62 -0.55 100.0            HighPM* # SB
X0448V    4189  1.17 -0.97 100.0               RGB* # XSL
X0163V    4191  1.63 -0.31 100.0               Star # XSL
X0421V    4192  1.25 -0.11 100.0               Star # XSL
X0615V    4192  2.54  0.36 100.0               RGB* # XSL
X0181V    4195  2.08 -0.03 100.0               Star # XSL
X0616V    4218  1.62 -0.86 100.0               RGB* # XSL well represents the available estimates (m0954V, AE: 4309.29 1.76 -0.59)
