XSL_HD116544_SIGrMILES.fits              0472 HD116544             HD116544             X0247V
XSL_HD118055_SIGrMILES.fits              0477 HD118055             HD118055             X0250V
XSL_HD118100_SIGrMILES.fits              0478 HD118100             HD118100             X0251V
XSL_HD122956_SIGrMILES.fits              0496 HD122956             HD122956             X0254V
XSL_HD124292_SIGrMILES.fits              0500 HD124292             HD124292             X0255V
XSL_BDp012916_SIGrMILES.fits             0505 BDp012916            BD+012916            X0012V
XSL_HD126053_SIGrMILES.fits              0507 HD126053             HD126053             X0256V
XSL_HD126778_SIGrMILES.fits              0512 HD126778             HD126778             X0259V
XSL_HD126681_SIGrMILES.fits              0513 HD126681             HD126681             X0258V
XSL_BDp182890_SIGrMILES.fits             0516 BDp182890            BD+182890            X0027V
XSL_HD128429_SIGrMILES.fits              0518 HD128429             HD128429             X0260V
XSL_HD128801_SIGrMILES.fits              0519 HD128801             HD128801             X0261V
XSL_CDm2610417_SIGrMILES.fits            0520 CDm2610417           CD-2610417           X0039V
XSL_HD130095_SIGrMILES.fits              0523 HD130095             HD130095             X0262V
XSL_HD130322_SIGrMILES.fits              0524 HD130322             HD130322             X0263V
XSL_BDp062986_SIGrMILES.fits             0537 BDp062986            BD+062986            X0016V
XSL_BDp302611_SIGrMILES.fits             0538 BDp302611            BD+302611            X0034V
XSL_HD134063_SIGrMILES.fits              0539 HD134063             HD134063             X0264V
XSL_HD134440_SIGrMILES.fits              0542 HD134440             HD134440             X0266V
XSL_HD134439_SIGrMILES.fits              0543 HD134439             HD134439             X0265V
XSL_CL_NGC5904ArpIIIm03_SIGrMILES.fits   0926 CL_NGC5904ArpIIIm03  M5_III-03            X0611V
XSL_CL_NGC5904ArpIVm19_SIGrMILES.fits    0930 CL_NGC5904ArpIVm19   M5_IV-19             X0618V
XSL_HD138290_SIGrMILES.fits              0559 HD138290             HD138290             X0267V
XSL_HD138776_SIGrMILES.fits              0562 HD138776             HD138776             X0268V
XSL_HD140283_SIGrMILES.fits              0568 HD140283             HD140283             X0271V
XSL_HD142575_SIGrMILES.fits              0574 HD142575             HD142575             X0273V
XSL_HD142703_SIGrMILES.fits              0577 HD142703             HD142703             X0274V
XSL_HD143459_SIGrMILES.fits              0578 HD143459             HD143459             X0275V
XSL_HD144172_SIGrMILES.fits              0582 HD144172             HD144172             X0276V
XSL_BDm114126_SIGrMILES.fits             0594 BDm114126            BD-114126            X0023V
XSL_CL_NGC6121LEE2303_SIGrMILES.fits     0933 CL_NGC6121LEE2303    M4_LEE-2303          X0056V
XSL_BDp093223_SIGrMILES.fits             0607 BDp093223            BD+093223            X0021V
XSL_HD150281_SIGrMILES.fits              0612 HD150281             HD150281             X0279V
XSL_HD157089_SIGrMILES.fits              0628 HD157089             HD157089             X0280V
XSL_HD161149_SIGrMILES.fits              0641 HD161149             HD161149             X0283V
XSL_HD161227_SIGrMILES.fits              0644 HD161227             HD161227             X0284V
XSL_HD161817_SIGrMILES.fits              0647 HD161817             HD161817             X0287V
XSL_BDp203603_SIGrMILES.fits             0649 BDp203603            BD+203603            X0029V
XSL_HD164432_SIGrMILES.fits              0656 HD164432             HD164432             X0293V
XSL_HD165195_SIGrMILES.fits              0657 HD165195             HD165195             X0295V
XSL_HD166161_SIGrMILES.fits              0665 HD166161             HD166161             X0297V
XSL_HD170820_SIGrMILES.fits              0939 HD170820             HD170820             X0305V
XSL_HD171496_SIGrMILES.fits              0683 HD171496             HD171496             X0309V
XSL_HD172365_SIGrMILES.fits              0687 HD172365             HD172365             X0311V
XSL_HD175640_SIGrMILES.fits              0706 HD175640             HD175640             X0328V
XSL_HD175892_SIGrMILES.fits              0708 HD175892             HD175892             X0330V
XSL_HD176301_SIGrMILES.fits              0709 HD176301             HD176301             X0331V
XSL_CDm2415398_SIGrMILES.fits            0723 CDm2415398           CD-2415398           X0038V
XSL_HD232078_SIGrMILES.fits              0731 HD232078             HD232078             X0396V
XSL_HD187111_SIGrMILES.fits              0736 HD187111             HD187111             X0343V
XSL_NGC68381078_SIGrMILES.fits           0968 NGC68381078          M71_1-78             X0623V
XSL_CL_NGC6838AHA9_SIGrMILES.fits        0944 CL_NGC6838AHA9       M71_A9               X0067V
XSL_NGC68381077_SIGrMILES.fits           0967 NGC68381077          M71_1-77             X0603V
XSL_NGC68381075_SIGrMILES.fits           0948 NGC68381075          M71_1-75             X0643V
XSL_NGC68381073_SIGrMILES.fits           0949 NGC68381073          M71_1-73             X0640V
XSL_NGC68381071_SIGrMILES.fits           0951 NGC68381071          M71_1-71             X0627V
XSL_NGC68381066_SIGrMILES.fits           0954 NGC68381066          M71_1-66             X0616V
XSL_NGC68381063_SIGrMILES.fits           0957 NGC68381063          M71_1-63             X0637V
XSL_NGC68381037_SIGrMILES.fits           0959 NGC68381037          M71_1-37             X0635V
XSL_NGC68381039_SIGrMILES.fits           0962 NGC68381039          M71_1-39             X0648V
XSL_NGC68381009_SIGrMILES.fits           0961 NGC68381009          M71_1-09             X0633V
XSL_NGC68381053_SIGrMILES.fits           0964 NGC68381053          M71_1-53             X0612V
XSL_CL_NGC6838AHA2_SIGrMILES.fits        0966 CL_NGC6838AHA2       M71_A2               X0066V
XSL_HD188510_SIGrMILES.fits              0742 HD188510             HD188510             X0345V
XSL_HD190404_SIGrMILES.fits              0750 HD190404             HD190404             X0348V
XSL_HD190390_SIGrMILES.fits              0753 HD190390             HD190390             X0347V
XSL_HD345957_SIGrMILES.fits              0757 HD345957             HD345957             X0402V
XSL_HD193281_SIGrMILES.fits              0761 HD193281             HD193281             X0351V
XSL_HD200779_SIGrMILES.fits              0785 HD200779             HD200779             X0362V
XSL_HD204041_SIGrMILES.fits              0796 HD204041             HD204041             X0367V
XSL_HD204155_SIGrMILES.fits              0798 HD204155             HD204155             X0368V
XSL_HD204543_SIGrMILES.fits              0803 HD204543             HD204543             X0369V
XSL_HD204587_SIGrMILES.fits              0804 HD204587             HD204587             X0370V
XSL_HD207222_SIGrMILES.fits              0818 HD207222             HD207222             X0374V
XSL_HD210295_SIGrMILES.fits              0825 HD210295             HD210295             X0377V
XSL_HD211075_SIGrMILES.fits              0830 HD211075             HD211075             X0378V
XSL_HD213042_SIGrMILES.fits              0835 HD213042             HD213042             X0380V
