#ID    T_XSL  gXSL  fXSL  T_SB  g_SB  f_SB  TL17  gL17  fL17  TL18  gL18  fL18  T_MA  g_MA  f_MA  TL14  gL14  fL14    T_JO  g_JO  f_JO  T_KU  g_KU  f_KU N_LI   T_LI   sigT  g_LI sigg   f_LI  sigf   NGSL TNGSL gNGSL fNGSL             SP_TYPE                  Simbad_NAME     
X0489V  3353  0.69 -0.14     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3353.0    0.0  0.69 0.00 -0.140 0.000      0     0  0.00  0.00                   M0                      Mira                        V* XZ Her
X0035V  3360  1.05 -0.45     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3360.0    0.0  1.05 0.00 -0.450 0.000      0     0  0.00  0.00              M2Ib:ep                     RedSG                        V* BH Tel
X0488V  3368  1.04 -0.37     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   2  3368.5    2.2  1.04 0.01 -0.370 0.029      0     0  0.00  0.00                   M3                      Mira                         V* X Lib
X0573V  3368  0.23 -0.45     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3368.0    0.0  0.23 0.00 -0.450 0.000      0     0  0.00  0.00                   M5                      AGB*                          BMB  13
X0575V  3384  0.29 -0.24     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3384.0    0.0  0.29 0.00 -0.240 0.000      0     0  0.00  0.00                   M5                      AGB*                          BMB 245
X0084V  3387  4.92 -0.35     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00  3314  4.69 -0.11  12  3462.0   73.4  4.87 0.14 -0.200 0.107 ng050V  3440  4.87 -0.20                  dM3                   HighPM*                        V* VX Ari
X0442V  3396  1.03 -0.52     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   2  3592.0  288.9  1.25 0.33 -0.832 0.459      0     0  0.00  0.00      K4.5-M4.5Ia-Iab                     RedSG      Cl* NGC  371     LE      29
X0439V  3399  0.65 -0.58     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   4  3859.0  334.2  0.57 0.19 -0.850 0.119      0     0  0.00  0.00             M4Ia-Iab                     RedSG                         V* Z Dor
X0455V  3413 -0.02 -0.41     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3413.0    0.0 -0.02 0.00 -0.410 0.000      0     0  0.00  0.00                   M3              LongPeriodV*               SHV 0515313-694303
X0482V  3430  1.27 -0.61     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3430.0    0.0  1.27 0.00 -0.610 0.000      0     0  0.00  0.00                  M1e                      Mira                      V* V335 Aql
