typed ident		 identifier		 typ	    coord1 (ICRS,J2000/2000)		      pm	     plx	rv/z      Mag B	   Mag V     Mag R     Mag I     Mag J	   Mag H     Mag K     spec. type      
------------ ----------------------------------- --- --------------------------------------- -------------------- ---------- ----------- --------- --------- --------- --------- --------- --------- --------- ---------------------
BD+24_1676   BD+24 1676 			 Pe* 07 30 41.2662525096 +24 05 10.248524088 162.379 -233.155	  3.9637     -237.09	 11.15     10.7      10.4	    ~	 9.811     9.545     9.541     F		    
BD+25_1981   BD+25 1981 			 Pe* 08 44 24.6895754316 +24 47 47.743332208 -114.389 -348.075    7.3531       57.622898 9.701  	~    9.421	    ~	 8.592     8.438     8.392     F0		    
BD+25_2555   BD+25 2555 			 Em* 12 44 23.2490618184 +24 45 26.704149948 -83.452 -19.946	  2.1786      -79.870	 10.06     9.2  	  ~	    ~	 7.476     7.01      6.892     G7		    
BD+29_0366   BD+29 366  			 PM* 02 10 24.5274364299 +29 48 23.663397433 289.000 -266.608	  19.6175      27.002	 9.35	   8.77      8.24      7.85	 7.572     7.280     7.216     G3		    
BD+30_2431   BD+30 2431 			 HB* 13 38 24.7651989120 +29 21 56.007255024 -14.107 -111.335	  3.2387      -26.40	 9.89	   10.02	  ~	    ~	 10.341    10.419    10.501    B5Vp		    
BD+30_2611   BD+30 2611 			 Pe* 15 06 53.8282684752 +30 00 36.941373756   13.941 -7.761	  0.6546     -281.40	 10.37     9.13 	  ~	    ~	 6.882     6.203     6.094     G8III		    
BD+31_2360   BD+31 2360 			 RG* 12 24 17.3977841256 +30 46 48.703967076   -20.145 8.173	  0.8384       23.90	 12.49     11.10     10.1	    ~	 9.449     8.894     8.830     G8		    
BD+33_4707   BD+33 4707 			 PM* 23 25 11.3117195256 +34 17 14.160260340 -296.079 -695.447    26.1823     -41.484	 10.24  	~    9.22	    ~	 7.628     7.153     7.062     K2		    
BD+36_2165   BD+36 2165 			 PM* 11 12 47.9997679646 +35 43 43.885058670 70.996 -510.835	  7.2771     -196.25	 10.19     9.76      9.34      9.02	 8.791     8.552     8.498     G0		    
BD+37_1458   BD+37 1458 			 Pe* 06 16 01.5222885381 +37 43 18.754343426 71.708 -352.866	  6.9147      242.230	 9.52	   8.92      8.34      7.91	 7.532     7.155     7.086     G0		    
BD+37_1665   BD+37 1665 			 PM* 07 10 08.3093673360 +37 16 33.911572404  7.032 -253.288	  5.4003      -48.67	 10.65  	~    9.2	    ~	 8.277     7.851     7.751     G5		    
BD+38_4955   BD+38 4955 			 SB* 23 13 38.8205905578 +39 25 02.589638688 175.686 -315.198	  11.8862     -54.67	 11.67     11.01     10.38     9.92	 9.540     9.217     9.088     F6		    
BD+39_4926   BD+39 4926 			 pA* 22 46 11.2272974832 +40 06 26.309865960   -3.220 -2.371	  0.1801      -20.18	 9.621     9.357     9.374	    ~	 8.539     8.394     8.338     A0IIp		    
BD+43_0699   BD+43 699  			 PM* 03 23 33.4861032600 +43 57 26.230741852 118.360 -334.440	  37.6588    	7.54	      ~ 	~    8.4	    ~	 7.132     6.627     6.543     K3V		    
BD+44_2051 A BD+44 2051 			 PM* 11 05 28.5769490063 +43 31 36.386948721 -4406.469 938.527    203.8876     68.84	 10.270 	~    7.9	    ~	 5.538     5.002     4.769     M1.0V		    
BD+45_0983   BD+45 983  			 PM* 04 47 18.3724123560 +45 59 10.519164852 232.667 -90.080	  13.4864      95.76	 11.04  	~    9.6	    ~	 8.645     8.186     8.162     G8:V:		    
BD+46_0610   BD+46 610  			 SB* 02 41 45.7397605656 +47 21 01.290205512 51.936 -289.549	  11.061      -12.96	      ~ 	~    8.8	    ~	 8.063     7.726     7.694     F8		    
BD+50_1021   BD+50 1021 			 SB* 04 38 07.8378793168 +51 10 12.441568259 169.137 -250.305	  13.9687     -39.16	      ~ 	~    9.9	    ~	 8.823     8.412     8.278     G8:V:		    
