X0398V  4614.0   2.74   -0.10   5200   -0.50   -0.40 HD270110            
X0141V  6819.0   3.82    0.18      0    0.00    0.00 HD38769             
X0142V 15760.0   4.18   -0.07      0    0.00    0.00 HD38856             
X0473V  3089.0   0.30   -0.38      0    0.00    0.00 SHV0549503m704331   
X0144V  5389.0   1.13   -0.09   5291    1.60   -0.04 HD39949             
X0147V  4644.0   1.72   -1.20   4593    1.84   -1.12 HD41667             
X0145V  5125.0   2.27   -0.01      0    0.00    0.00 HD41433             
X0146V  6519.0   3.79    0.15      0    0.00    0.00 HD41661             
X0148V  6956.0   3.69    0.49      0    0.00    0.00 HD41770             
X0150V  4709.0   2.47   -0.31      0    0.00    0.00 HD42256             
X0151V 20129.0   3.59   -0.04      0    0.00    0.00 HD42597             
X0152V  4808.0   3.59   -0.01   4918    3.61    0.17 HD42983             
X0153V  7935.0   4.20   -0.71      0    0.00    0.00 HD43021             
X0154V 16006.0   4.16   -0.11      0    0.00    0.00 HD43286             
X0156V  4263.0   2.01   -0.10      0    0.00    0.00 HD44285             
X0158V  4130.0   2.27    0.06      0    0.00    0.00 HD44515             
X0429V  4704.0   4.76   -1.46   4520    4.63   -1.61 LHS1841             
X0157V  4638.0   1.08   -0.03   4645    1.22    0.13 HD44391             
X0159V  6502.0   4.28   -0.09      0    0.00    0.00 HD44770             
X0160V  7229.0   3.66    0.16      0    0.00    0.00 HD45196             
X0162V  5063.0   2.45   -0.09      0    0.00    0.00 HD45507             
X0163V  4191.0   1.63   -0.31      0    0.00    0.00 HD46454             
X0420V  3885.0   0.29    0.05      0    0.00    0.00 IRAS06404p0311      
X0164V  6496.0   1.33    0.08   6380    1.86   -0.08 HD48616             
X0165V  4501.0   1.77   -0.03   4498    1.26   -0.18 HD49068             
X0166V  7216.0   3.95   -0.12      0    0.00    0.00 HD49739             
X0421V  4192.0   1.25   -0.11      0    0.00    0.00 IRAS06498m1102      
X0167V  4758.0   1.76    0.02      0    0.00    0.00 HD50372             
X0168V  5280.0   2.20    0.01      0    0.00    0.00 HD50819             
X0169V  6308.0   4.29   -0.32   6351    4.60   -0.84 HD52298             
X0171V  5799.0   1.18    0.06   5576    1.54   -0.07 HD53003             
X0054V  4825.0   1.86   -0.24   4750    1.70   -0.10 CL_NGC2324BSV10828  
X0173V  4928.0   2.43   -0.69      0    0.00    0.00 HD54828             
X0007V  3201.0   0.64   -0.44      0    0.00    0.00 ALMon               
X0174V  4571.0   2.64   -0.03      0    0.00    0.00 HD55583             
X0176V  5040.0   2.64   -0.09      0    0.00    0.00 HD56448             
X0177V  4082.0   1.63   -0.31      0    0.00    0.00 HD57132             
X0178V  4837.0   3.19   -0.03   5021    3.32    0.11 HD57707             
X0025V  3871.0   1.51   -0.26      0    0.00    0.00 BDm161934           
X0179V  4023.0   2.07    0.04      0    0.00    0.00 HD58051             
X0180V  5127.0   2.38    0.03      0    0.00    0.00 HD58072             
X0181V  4195.0   2.08   -0.03      0    0.00    0.00 HD58455             
X0182V  4399.0   2.07   -0.27      0    0.00    0.00 HD58554             
X0183V  4663.0   2.50   -0.11   5300    3.40    0.30 HD58790             
X0184V  4634.0   2.25    0.00      0    0.00    0.00 HD59295             
X0186V  5902.0   4.01   -0.90   5922    4.22   -0.82 HD60319             
