ROW1: SOLAR RATIOS, ROW2: RATIOS OF THE OLD POPULATION, ROW3: RATIOS OF THE YOUNG POPULATION
H	He	C	N	O	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	Ca	Ti	Cr	Mn	Fe	Ni
1	1	0.21785	0.05308	0.48158	0.03262	0.00190	0.04211	0.00392	0.05458	0.00043	0.02208	0.00049	0.00175	0.00391	0.00023	0.00115	0.00063	0.07684	0.00485
1	1	0.21785	0.05308	0.48158	0.03262	0.00190	0.04211	0.00392	0.05458	0.00043	0.02208	0.00049	0.00175	0.00391	0.00023	0.00115	0.00063	0.07684	0.00485
1	1	0.21785	0.05308	0.48158	0.03262	0.00190	0.04211	0.00392	0.05458	0.00043	0.02208	0.00049	0.00175	0.00391	0.00023	0.00115	0.00063	0.07684	0.00485
